"xx.Token","Exchange","Type","Symbol","Expiry","Strike","OpType","Token","Blank","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
876692,"BSE","OPTION","FOCIT","29-OCT-2026",32400,"PE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""876692 5 202"")","#RTD(""greekserver.rtdfunctions"",,""876692 41 202"")","#RTD(""greekserver.rtdfunctions"",,""876692 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""876692 7 202"")","#RTD(""greekserver.rtdfunctions"",,""876692 42 202"")","#RTD(""greekserver.rtdfunctions"",,""876692 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""876692 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""876692 12 202"")","#RTD(""greekserver.rtdfunctions"",,""876692 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""876692 25 202"")","#RTD(""greekserver.rtdfunctions"",,""876692 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""876692 27 202"")","#RTD(""greekserver.rtdfunctions"",,""876692 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""876692 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""876692 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""876692 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""876692 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""876692 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""876692 20 202""))","#RTD(""greekserver.rtdfunctions"",,""876692 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""876692 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""876692 40 202"")","#RTD(""greekserver.rtdfunctions"",,""876692 34 202"")/100"
867601,"BSE","OPTION","FOCIT","29-OCT-2026",32500,"PE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""867601 5 202"")","#RTD(""greekserver.rtdfunctions"",,""867601 41 202"")","#RTD(""greekserver.rtdfunctions"",,""867601 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""867601 7 202"")","#RTD(""greekserver.rtdfunctions"",,""867601 42 202"")","#RTD(""greekserver.rtdfunctions"",,""867601 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""867601 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""867601 12 202"")","#RTD(""greekserver.rtdfunctions"",,""867601 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""867601 25 202"")","#RTD(""greekserver.rtdfunctions"",,""867601 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""867601 27 202"")","#RTD(""greekserver.rtdfunctions"",,""867601 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""867601 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""867601 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""867601 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""867601 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""867601 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""867601 20 202""))","#RTD(""greekserver.rtdfunctions"",,""867601 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""867601 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""867601 40 202"")","#RTD(""greekserver.rtdfunctions"",,""867601 34 202"")/100"
878416,"BSE","OPTION","FOCIT","29-OCT-2026",32600,"PE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""878416 5 202"")","#RTD(""greekserver.rtdfunctions"",,""878416 41 202"")","#RTD(""greekserver.rtdfunctions"",,""878416 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""878416 7 202"")","#RTD(""greekserver.rtdfunctions"",,""878416 42 202"")","#RTD(""greekserver.rtdfunctions"",,""878416 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""878416 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""878416 12 202"")","#RTD(""greekserver.rtdfunctions"",,""878416 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""878416 25 202"")","#RTD(""greekserver.rtdfunctions"",,""878416 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""878416 27 202"")","#RTD(""greekserver.rtdfunctions"",,""878416 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""878416 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""878416 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""878416 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""878416 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""878416 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""878416 20 202""))","#RTD(""greekserver.rtdfunctions"",,""878416 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""878416 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""878416 40 202"")","#RTD(""greekserver.rtdfunctions"",,""878416 34 202"")/100"
868202,"BSE","OPTION","FOCIT","29-OCT-2026",32700,"PE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""868202 5 202"")","#RTD(""greekserver.rtdfunctions"",,""868202 41 202"")","#RTD(""greekserver.rtdfunctions"",,""868202 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""868202 7 202"")","#RTD(""greekserver.rtdfunctions"",,""868202 42 202"")","#RTD(""greekserver.rtdfunctions"",,""868202 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""868202 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""868202 12 202"")","#RTD(""greekserver.rtdfunctions"",,""868202 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""868202 25 202"")","#RTD(""greekserver.rtdfunctions"",,""868202 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""868202 27 202"")","#RTD(""greekserver.rtdfunctions"",,""868202 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""868202 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""868202 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""868202 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""868202 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""868202 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""868202 20 202""))","#RTD(""greekserver.rtdfunctions"",,""868202 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""868202 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""868202 40 202"")","#RTD(""greekserver.rtdfunctions"",,""868202 34 202"")/100"
862445,"BSE","OPTION","FOCIT","29-OCT-2026",32800,"PE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""862445 5 202"")","#RTD(""greekserver.rtdfunctions"",,""862445 41 202"")","#RTD(""greekserver.rtdfunctions"",,""862445 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""862445 7 202"")","#RTD(""greekserver.rtdfunctions"",,""862445 42 202"")","#RTD(""greekserver.rtdfunctions"",,""862445 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""862445 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""862445 12 202"")","#RTD(""greekserver.rtdfunctions"",,""862445 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""862445 25 202"")","#RTD(""greekserver.rtdfunctions"",,""862445 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""862445 27 202"")","#RTD(""greekserver.rtdfunctions"",,""862445 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""862445 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""862445 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""862445 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""862445 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""862445 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""862445 20 202""))","#RTD(""greekserver.rtdfunctions"",,""862445 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""862445 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""862445 40 202"")","#RTD(""greekserver.rtdfunctions"",,""862445 34 202"")/100"
868839,"BSE","OPTION","FOCIT","29-OCT-2026",32900,"PE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""868839 5 202"")","#RTD(""greekserver.rtdfunctions"",,""868839 41 202"")","#RTD(""greekserver.rtdfunctions"",,""868839 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""868839 7 202"")","#RTD(""greekserver.rtdfunctions"",,""868839 42 202"")","#RTD(""greekserver.rtdfunctions"",,""868839 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""868839 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""868839 12 202"")","#RTD(""greekserver.rtdfunctions"",,""868839 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""868839 25 202"")","#RTD(""greekserver.rtdfunctions"",,""868839 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""868839 27 202"")","#RTD(""greekserver.rtdfunctions"",,""868839 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""868839 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""868839 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""868839 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""868839 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""868839 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""868839 20 202""))","#RTD(""greekserver.rtdfunctions"",,""868839 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""868839 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""868839 40 202"")","#RTD(""greekserver.rtdfunctions"",,""868839 34 202"")/100"
865163,"BSE","OPTION","FOCIT","29-OCT-2026",33000,"PE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""865163 5 202"")","#RTD(""greekserver.rtdfunctions"",,""865163 41 202"")","#RTD(""greekserver.rtdfunctions"",,""865163 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865163 7 202"")","#RTD(""greekserver.rtdfunctions"",,""865163 42 202"")","#RTD(""greekserver.rtdfunctions"",,""865163 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865163 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865163 12 202"")","#RTD(""greekserver.rtdfunctions"",,""865163 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865163 25 202"")","#RTD(""greekserver.rtdfunctions"",,""865163 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865163 27 202"")","#RTD(""greekserver.rtdfunctions"",,""865163 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865163 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865163 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865163 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865163 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865163 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""865163 20 202""))","#RTD(""greekserver.rtdfunctions"",,""865163 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865163 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865163 40 202"")","#RTD(""greekserver.rtdfunctions"",,""865163 34 202"")/100"
863214,"BSE","OPTION","FOCIT","29-OCT-2026",33100,"PE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""863214 5 202"")","#RTD(""greekserver.rtdfunctions"",,""863214 41 202"")","#RTD(""greekserver.rtdfunctions"",,""863214 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""863214 7 202"")","#RTD(""greekserver.rtdfunctions"",,""863214 42 202"")","#RTD(""greekserver.rtdfunctions"",,""863214 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""863214 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""863214 12 202"")","#RTD(""greekserver.rtdfunctions"",,""863214 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""863214 25 202"")","#RTD(""greekserver.rtdfunctions"",,""863214 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""863214 27 202"")","#RTD(""greekserver.rtdfunctions"",,""863214 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""863214 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""863214 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""863214 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""863214 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""863214 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""863214 20 202""))","#RTD(""greekserver.rtdfunctions"",,""863214 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""863214 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""863214 40 202"")","#RTD(""greekserver.rtdfunctions"",,""863214 34 202"")/100"
865694,"BSE","OPTION","FOCIT","29-OCT-2026",33200,"PE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""865694 5 202"")","#RTD(""greekserver.rtdfunctions"",,""865694 41 202"")","#RTD(""greekserver.rtdfunctions"",,""865694 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865694 7 202"")","#RTD(""greekserver.rtdfunctions"",,""865694 42 202"")","#RTD(""greekserver.rtdfunctions"",,""865694 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865694 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865694 12 202"")","#RTD(""greekserver.rtdfunctions"",,""865694 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865694 25 202"")","#RTD(""greekserver.rtdfunctions"",,""865694 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865694 27 202"")","#RTD(""greekserver.rtdfunctions"",,""865694 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865694 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865694 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865694 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865694 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865694 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""865694 20 202""))","#RTD(""greekserver.rtdfunctions"",,""865694 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865694 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865694 40 202"")","#RTD(""greekserver.rtdfunctions"",,""865694 34 202"")/100"
863719,"BSE","OPTION","FOCIT","29-OCT-2026",33300,"PE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""863719 5 202"")","#RTD(""greekserver.rtdfunctions"",,""863719 41 202"")","#RTD(""greekserver.rtdfunctions"",,""863719 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""863719 7 202"")","#RTD(""greekserver.rtdfunctions"",,""863719 42 202"")","#RTD(""greekserver.rtdfunctions"",,""863719 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""863719 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""863719 12 202"")","#RTD(""greekserver.rtdfunctions"",,""863719 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""863719 25 202"")","#RTD(""greekserver.rtdfunctions"",,""863719 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""863719 27 202"")","#RTD(""greekserver.rtdfunctions"",,""863719 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""863719 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""863719 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""863719 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""863719 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""863719 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""863719 20 202""))","#RTD(""greekserver.rtdfunctions"",,""863719 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""863719 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""863719 40 202"")","#RTD(""greekserver.rtdfunctions"",,""863719 34 202"")/100"
866181,"BSE","OPTION","FOCIT","29-OCT-2026",33400,"PE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""866181 5 202"")","#RTD(""greekserver.rtdfunctions"",,""866181 41 202"")","#RTD(""greekserver.rtdfunctions"",,""866181 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""866181 7 202"")","#RTD(""greekserver.rtdfunctions"",,""866181 42 202"")","#RTD(""greekserver.rtdfunctions"",,""866181 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""866181 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""866181 12 202"")","#RTD(""greekserver.rtdfunctions"",,""866181 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""866181 25 202"")","#RTD(""greekserver.rtdfunctions"",,""866181 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""866181 27 202"")","#RTD(""greekserver.rtdfunctions"",,""866181 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""866181 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""866181 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""866181 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""866181 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""866181 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""866181 20 202""))","#RTD(""greekserver.rtdfunctions"",,""866181 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""866181 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""866181 40 202"")","#RTD(""greekserver.rtdfunctions"",,""866181 34 202"")/100"
864188,"BSE","OPTION","FOCIT","29-OCT-2026",33500,"PE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""864188 5 202"")","#RTD(""greekserver.rtdfunctions"",,""864188 41 202"")","#RTD(""greekserver.rtdfunctions"",,""864188 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""864188 7 202"")","#RTD(""greekserver.rtdfunctions"",,""864188 42 202"")","#RTD(""greekserver.rtdfunctions"",,""864188 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""864188 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""864188 12 202"")","#RTD(""greekserver.rtdfunctions"",,""864188 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""864188 25 202"")","#RTD(""greekserver.rtdfunctions"",,""864188 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""864188 27 202"")","#RTD(""greekserver.rtdfunctions"",,""864188 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""864188 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""864188 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""864188 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""864188 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""864188 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""864188 20 202""))","#RTD(""greekserver.rtdfunctions"",,""864188 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""864188 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""864188 40 202"")","#RTD(""greekserver.rtdfunctions"",,""864188 34 202"")/100"
866715,"BSE","OPTION","FOCIT","29-OCT-2026",33600,"PE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""866715 5 202"")","#RTD(""greekserver.rtdfunctions"",,""866715 41 202"")","#RTD(""greekserver.rtdfunctions"",,""866715 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""866715 7 202"")","#RTD(""greekserver.rtdfunctions"",,""866715 42 202"")","#RTD(""greekserver.rtdfunctions"",,""866715 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""866715 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""866715 12 202"")","#RTD(""greekserver.rtdfunctions"",,""866715 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""866715 25 202"")","#RTD(""greekserver.rtdfunctions"",,""866715 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""866715 27 202"")","#RTD(""greekserver.rtdfunctions"",,""866715 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""866715 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""866715 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""866715 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""866715 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""866715 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""866715 20 202""))","#RTD(""greekserver.rtdfunctions"",,""866715 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""866715 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""866715 40 202"")","#RTD(""greekserver.rtdfunctions"",,""866715 34 202"")/100"
864697,"BSE","OPTION","FOCIT","29-OCT-2026",33700,"PE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""864697 5 202"")","#RTD(""greekserver.rtdfunctions"",,""864697 41 202"")","#RTD(""greekserver.rtdfunctions"",,""864697 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""864697 7 202"")","#RTD(""greekserver.rtdfunctions"",,""864697 42 202"")","#RTD(""greekserver.rtdfunctions"",,""864697 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""864697 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""864697 12 202"")","#RTD(""greekserver.rtdfunctions"",,""864697 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""864697 25 202"")","#RTD(""greekserver.rtdfunctions"",,""864697 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""864697 27 202"")","#RTD(""greekserver.rtdfunctions"",,""864697 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""864697 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""864697 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""864697 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""864697 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""864697 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""864697 20 202""))","#RTD(""greekserver.rtdfunctions"",,""864697 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""864697 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""864697 40 202"")","#RTD(""greekserver.rtdfunctions"",,""864697 34 202"")/100"
862733,"BSE","OPTION","FOCIT","29-OCT-2026",33800,"PE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""862733 5 202"")","#RTD(""greekserver.rtdfunctions"",,""862733 41 202"")","#RTD(""greekserver.rtdfunctions"",,""862733 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""862733 7 202"")","#RTD(""greekserver.rtdfunctions"",,""862733 42 202"")","#RTD(""greekserver.rtdfunctions"",,""862733 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""862733 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""862733 12 202"")","#RTD(""greekserver.rtdfunctions"",,""862733 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""862733 25 202"")","#RTD(""greekserver.rtdfunctions"",,""862733 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""862733 27 202"")","#RTD(""greekserver.rtdfunctions"",,""862733 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""862733 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""862733 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""862733 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""862733 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""862733 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""862733 20 202""))","#RTD(""greekserver.rtdfunctions"",,""862733 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""862733 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""862733 40 202"")","#RTD(""greekserver.rtdfunctions"",,""862733 34 202"")/100"
865229,"BSE","OPTION","FOCIT","29-OCT-2026",33900,"PE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""865229 5 202"")","#RTD(""greekserver.rtdfunctions"",,""865229 41 202"")","#RTD(""greekserver.rtdfunctions"",,""865229 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865229 7 202"")","#RTD(""greekserver.rtdfunctions"",,""865229 42 202"")","#RTD(""greekserver.rtdfunctions"",,""865229 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865229 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865229 12 202"")","#RTD(""greekserver.rtdfunctions"",,""865229 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865229 25 202"")","#RTD(""greekserver.rtdfunctions"",,""865229 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865229 27 202"")","#RTD(""greekserver.rtdfunctions"",,""865229 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865229 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865229 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865229 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865229 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865229 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""865229 20 202""))","#RTD(""greekserver.rtdfunctions"",,""865229 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865229 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""865229 40 202"")","#RTD(""greekserver.rtdfunctions"",,""865229 34 202"")/100"
878261,"BSE","OPTION","FOCIT","29-OCT-2026",34000,"PE","IO",NA,"#RTD(""greekserver.rtdfunctions"",,""878261 5 202"")","#RTD(""greekserver.rtdfunctions"",,""878261 41 202"")","#RTD(""greekserver.rtdfunctions"",,""878261 4 202"")/100","#RTD(""greekserver.rtdfunctions"",,""878261 7 202"")","#RTD(""greekserver.rtdfunctions"",,""878261 42 202"")","#RTD(""greekserver.rtdfunctions"",,""878261 6 202"")/100","#RTD(""greekserver.rtdfunctions"",,""878261 8 202"")/100","#RTD(""greekserver.rtdfunctions"",,""878261 12 202"")","#RTD(""greekserver.rtdfunctions"",,""878261 24 202"")/100","#RTD(""greekserver.rtdfunctions"",,""878261 25 202"")","#RTD(""greekserver.rtdfunctions"",,""878261 26 202"")/100","#RTD(""greekserver.rtdfunctions"",,""878261 27 202"")","#RTD(""greekserver.rtdfunctions"",,""878261 13 202"")/100","#RTD(""greekserver.rtdfunctions"",,""878261 14 202"")/100","#RTD(""greekserver.rtdfunctions"",,""878261 15 202"")/100","#RTD(""greekserver.rtdfunctions"",,""878261 16 202"")/100","#RTD(""greekserver.rtdfunctions"",,""878261 10 202"")/100","#RTD(""greekserver.rtdfunctions"",,""878261 11 202"")","#nseltodate(RTD(""greekserver.rtdfunctions"",,""878261 20 202""))","#RTD(""greekserver.rtdfunctions"",,""878261 18 202"")/100","#RTD(""greekserver.rtdfunctions"",,""878261 17 202"")/100","#RTD(""greekserver.rtdfunctions"",,""878261 40 202"")","#RTD(""greekserver.rtdfunctions"",,""878261 34 202"")/100"
